time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010515349642	131.592	31.9697	-1.46262	1.52636e+15	2.48349e+13	lidar	0	140.331	17.008	140.242	17.1733	2.63994	1.07503
1477010515349642	134.652	30.2038	3.35407	1.52636e+15	2.48349e+13	radar	0	140.305	17.5379	140.242	17.1733	2.63994	1.07503
1477010516349642	134.652	30.2038	3.35407	1.55119e+15	2.48349e+13	lidar	0	142.888	17.9918	142.868	18.2829	2.65497	1.16346
1477010516349642	135.913	27.9656	-1.75805	1.55119e+15	2.48349e+13	radar	0	142.626	18.1458	142.868	18.2829	2.65497	1.16346
1477010517349642	135.913	27.9656	-1.75805	1.57603e+15	2.48349e+13	lidar	0	145.392	19.1617	145.51	19.4754	2.66445	1.23795
1477010517349642	139.415	24.9954	4.31208	1.57603e+15	2.48349e+13	radar	0	145.789	19.3785	145.51	19.4754	2.66445	1.23795
1477010518349642	139.415	24.9954	4.31208	1.60086e+15	2.48349e+13	lidar	0	148.251	20.4754	148.163	20.7364	2.66951	1.29702
1477010518349642	140.248	24.1243	0.921264	1.60086e+15	2.4835e+13	radar	0	148.146	20.9376	148.163	20.7364	2.66951	1.29702
1477010519349642	140.248	24.1243	0.921264	1.6257e+15	2.4835e+13	lidar	0	150.686	22.1142	150.825	22.0502	2.67111	1.33953
1477010519349642	143.223	23.2437	2.81089	1.6257e+15	2.4835e+13	radar	0	150.649	21.8148	150.825	22.0502	2.67111	1.33953
1477010520349642	143.223	23.2437	2.81089	1.65053e+15	2.4835e+13	lidar	0	153.422	23.4909	153.491	23.3999	2.66999	1.3647
1477010520349642	145.908	24.4418	8.57506	1.65053e+15	2.48351e+13	radar	0	153.466	22.9115	153.491	23.3999	2.66999	1.3647
1477010521349642	145.908	24.4418	8.57506	1.67537e+15	2.48351e+13	lidar	0	156.047	24.8084	156.159	24.7682	2.66666	1.37208
1477010521349642	154.034	24.9315	-3.53402	1.67537e+15	2.48351e+13	radar	0	156.009	25.0678	156.159	24.7682	2.66666	1.37208
1477010522349642	154.034	24.9315	-3.53402	1.7002e+15	2.48351e+13	lidar	0	158.905	26.0308	158.827	26.1372	2.66127	1.36157
1477010522349642	157.208	26.6595	0.216421	1.7002e+15	2.48351e+13	radar	0	159.014	26.1903	158.827	26.1372	2.66127	1.36157
1477010523349642	157.208	26.6595	0.216421	1.72504e+15	2.48351e+13	lidar	0	161.412	27.4256	161.493	27.4891	2.65371	1.33344
